Daawat Butter Chicken	10.00nzd
Daawat Chicken Korma	10.00nzd
Daawat Chicken Vindaloo	10.00usd
Daawat Chicken Lavabdar	10.00nzd
Daawat Chicken Madras	10.00nzd
Daawat Chicken Tikka Masala	10.00nzd
Daawat Chicken Jalfrezi	10.00nzd
Daawat Chicken Curry	10.00nzd
Daawat Rogan Josh	10.00nzd
Daawat Lamb Korma	10.00nzd
Daawat Lamb Vindaloo	10.00usd
Daawat Lamb Madras	10.00nzd
Daawat Lamb Lavabdar	10.00nzd
Daawat Lamb Jalfrezi	10.00nzd
Daawat Beef Curry	10.00nzd
Daawat Beef Korma	10.00nzd
Daawat Beef Vindaloo	10.00usd
Daawat Beef Madras	10.00nzd
Daawat Beef Lavabdar	10.00nzd
Daawat Beef Jalfrezi	10.00nzd
Daawat Dal Makhani	9.00nzd
Daawat Vegetable Korma	9.00nzd
Daawat Vegetable Makhani	9.00nzd
Daawat Vegetable Curry	9.00nzd
Daawat Aloo Gobi	9.00nzd
Daawat Vegetable Lavabdar	9.00nzd
Tulsi Fish Vindaloo	10.00usd
Tulsi Fish Madras	10.00nzd
Tulsi Prawn Masala	11.00nzd
Tulsi Prawn Vindaloo	11.00usd
Tulsi Prawn Madras	11.00nzd
Tulsi Chicken Biryani	9.00nzd
Tulsi Lamb Biryani	9.00nzd
Tulsi Beef Biryani	9.00nzd
Tulsi Vegetable Biryani	8.50nzd
Tulsi Dal Makhani	6.90nzd
Tulsi Navrattan Korma	6.90nzd
Tulsi Vegetable Curry	6.90nzd
Tulsi Tarka Dal	6.90nzd
Tulsi Aloo Sag	6.90nzd
Tulsi Aloo Gobi	6.90nzd
Tulsi Sag Paneer	6.90nzd
Tulsi Channa Masala	7.50nzd
Tulsi Malai Kofta	8.00nzd
Tulsi Vegetable Makhani	7.50nzd
Tulsi Matter Paneer	8.00nzd
Tulsi Paneer Makhani	8.00nzd
Tulsi Butter Chicken	8.50nzd
Tulsi Mango Chicken	9.00nzd
Tulsi Jeera Chicken	8.50nzd
Tulsi Chicken Dhan Sak	8.50nzd
Tulsi Lamb Dhan Sak	8.50nzd
Tulsi Beef Dhan Sak	8.50nzd
Tulsi Chicken Tikka Masala	9.00nzd
Tulsi Chicken Korma	8.50nzd
Tulsi Lamb Korma	8.50nzd
Tulsi Beef Korma	8.50nzd
Tulsi Chicken Madras	8.50nzd
Tulsi Lamb Madras	8.50nzd
Tulsi Beef Madras	8.50nzd
Tulsi Chicken Vindaloo	8.50usd
Tulsi Lamb Vindaloo	8.50usd
Tulsi Beef Vindaloo	8.50usd
Tulsi Chicken Sagwala	9.00nzd
Tulsi Lamb Sagwala	9.00nzd
Tulsi Beef Sagwala	9.00nzd
Tulsi Chicken Rogan Josh	8.50nzd
Tulsi Rogan Josh	8.50nzd
Tulsi Beef Rogan Josh	8.50nzd
Tulsi Chicken Balti	9.00nzd
Tulsi Lamb Balti	9.00nzd
Tulsi Beef Balti	9.00nzd
Tulsi Chicken Badam Pasanda	8.50nzd
Tulsi Lamb Badam Pasanda	8.50nzd
Tulsi Beef Badam Pasanda	8.50nzd
Tulsi Bhuna Chicken	9.00nzd
Tulsi Bhuna Gosht	9.00nzd
Tulsi Bhola Balti	9.00nzd
